GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RaceControl HQ,com.racecontrol.api.domain.valueObject,Nationality,0,29,0,6,0,7,0,5,0,2
RaceControl HQ,com.racecontrol.api.domain.valueObject,HexColor,0,43,0,8,0,13,0,7,0,3
RaceControl HQ,com.racecontrol.api.domain.model,Race,0,178,0,8,0,45,0,18,0,14
RaceControl HQ,com.racecontrol.api.domain.model,Driver,0,81,0,0,0,19,0,7,0,7
RaceControl HQ,com.racecontrol.api.domain.model,Contract,0,71,0,4,0,19,0,8,0,6
RaceControl HQ,com.racecontrol.api.domain.model,BaseEntity,0,17,0,2,0,5,0,4,0,3
RaceControl HQ,com.racecontrol.api.domain.model,Team,0,90,0,0,0,26,0,10,0,10
RaceControl HQ,com.racecontrol.api.domain.model,Season,0,136,0,14,0,35,0,15,0,8
RaceControl HQ,com.racecontrol.api.domain.model,League,0,118,0,4,0,34,0,13,0,11
RaceControl HQ,com.racecontrol.api.core.exception,BusinessRuleException,0,12,0,0,0,5,0,2,0,2
RaceControl HQ,com.racecontrol.api.core.code,Code,0,27,0,0,0,5,0,1,0,1
RaceControl HQ,com.racecontrol.api,RaceControlHqApplication,5,3,0,0,2,1,1,1,1,1
RaceControl HQ,com.racecontrol.api.domain.util,Slugifier,3,17,0,0,1,8,1,1,1,1
RaceControl HQ,com.racecontrol.api.domain.model.enums,SeasonStatus.new SeasonStatus() {...},0,16,0,2,0,4,0,3,0,2
RaceControl HQ,com.racecontrol.api.domain.model.enums,SeasonStatus.new SeasonStatus() {...},0,16,0,2,0,4,0,3,0,2
RaceControl HQ,com.racecontrol.api.domain.model.enums,SeasonStatus.new SeasonStatus() {...},0,12,0,0,0,2,0,2,0,2
RaceControl HQ,com.racecontrol.api.domain.model.enums,SeasonStatus,0,21,0,0,0,4,0,1,0,1
RaceControl HQ,com.racecontrol.api.domain.model.enums,CarCategory,0,67,0,0,0,12,0,2,0,2
RaceControl HQ,com.racecontrol.api.infra.config,ClockConfig,0,5,0,0,0,2,0,2,0,2
RaceControl HQ,com.racecontrol.api.domain.validation,CommonValidation,3,67,0,10,1,15,1,8,1,3
RaceControl HQ,com.racecontrol.api.domain.validation,UrlValidation,3,114,0,18,1,25,1,12,1,3
